id,funfam,e_value,score,hmm_from,hmm_to,ali_from,ali_to,env_from,env_to,acc
3,1.20.1580.10-FF-000002,5.4e-91,291.0,1,138,292,429,292,429,1.00
1,1.10.1140.10-FF-000001,4.7e-66,209.5,1,113,2,114,2,114,0.99
1,1.10.1140.10-FF-000016,1.5e-15,46.2,1,35,2,36,2,37,0.94
