id,helix_percent,strand_percent,coil_percent
4,29.17,23.33,47.5
1,71.05,0.0,28.95
9,73.62,0.0,26.38
8,33.33,18.7,47.97
6,59.68,0.0,40.32
2,35.92,29.13,34.95
3,34.32,15.58,50.09
5,44.64,14.29,41.07
7,45.81,15.08,39.11
