id,plddt,ptm
1,54.7,0.029
2,78.0,0.092
3,74.2,0.059
4,52.2,0.027
5,71.9,0.080
6,72.9,0.031
7,82.8,0.105
8,55.2,0.036
9,63.0,0.036
